metaheuristica,instancia,familia,tier,bks,costo_antes,gap_antes_%,costo_nuevo_probado,costo_despues,gap_despues_%,mejoro,cruzo_a_<=1%
ABC,egl-e3-C,egl,D(>25%),10244.0,13937.0,36.05,11766.0,11766.0,14.857,True,False
ABC,egl-e4-A,egl,D(>25%),6408.0,8784.0,37.079,7254.0,7254.0,13.202,True,False
ABC,egl-e4-B,egl,D(>25%),8935.0,12741.0,42.597,9875.0,9875.0,10.52,True,False
ABC,egl-e4-C,egl,D(>25%),11512.0,15486.0,34.521,12728.0,12728.0,10.563,True,False
ABC,egl-s1-A,egl,D(>25%),5018.0,7545.0,50.359,7300.0,7300.0,45.476,True,False
ABC,egl-s1-B,egl,D(>25%),6388.0,8908.0,39.449,8867.0,8867.0,38.807,True,False
ABC,egl-s1-C,egl,D(>25%),8518.0,11507.0,35.09,11956.0,11507.0,35.09,False,False
ABC,egl-s2-A,egl,D(>25%),9825.0,16785.0,70.84,14775.0,14775.0,50.382,True,False
ABC,egl-s2-B,egl,D(>25%),13017.0,24608.0,89.045,19563.0,19563.0,50.288,True,False
ABC,egl-s2-C,egl,D(>25%),16425.0,28452.0,73.224,25365.0,25365.0,54.429,True,False
ABC,egl-s3-A,egl,D(>25%),10165.0,16422.0,61.554,14411.0,14411.0,41.771,True,False
ABC,egl-s3-B,egl,D(>25%),13648.0,24068.0,76.348,20683.0,20683.0,51.546,True,False
ABC,egl-s3-C,egl,D(>25%),17188.0,28451.0,65.528,26678.0,26678.0,55.213,True,False
ABC,egl-s4-A,egl,D(>25%),12153.0,23125.0,90.282,19745.0,19745.0,62.47,True,False
ABC,egl-s4-B,egl,D(>25%),16113.0,30812.0,91.224,26336.0,26336.0,63.446,True,False
ABC,egl-s4-C,egl,D(>25%),20430.0,34919.0,70.92,30489.0,30489.0,49.236,True,False
CS,kshs4,kshs,B(3-10%),11498.0,12304.0,7.01,12299.0,12299.0,6.966,True,False
CS,kshs5,kshs,C(10-25%),10957.0,12059.0,10.057,10957.0,10957.0,0.0,True,True
CS,kshs6,kshs,B(3-10%),10197.0,11177.0,9.611,10197.0,10197.0,0.0,True,True
CS,gdb4,gdb,C(10-25%),287.0,322.0,12.195,287.0,287.0,0.0,True,True
CS,gdb14,gdb,B(3-10%),100.0,110.0,10.0,100.0,100.0,0.0,True,True
CS,gdb1,gdb,B(3-10%),316.0,340.0,7.595,316.0,316.0,0.0,True,True
CS,gdb20,gdb,C(10-25%),121.0,136.0,12.397,123.0,123.0,1.653,True,False
CS,gdb3,gdb,B(3-10%),275.0,292.0,6.182,275.0,275.0,0.0,True,True
CS,gdb6,gdb,B(3-10%),298.0,315.0,5.705,298.0,298.0,0.0,True,True
