metaheuristica,instancia,familia,gap_%,bks,costo_actual,tier
CS,val9A,val,7.333,450,483,B(3-10%)
CS,val9B,val,11.258,453,504,C(10-25%)
CS,val9C,val,9.586,459,503,B(3-10%)
CS,val9D,val,11.456,515,574,C(10-25%)
CS,val10A,val,3.454,637,659,B(3-10%)
CS,val10B,val,3.411,645,667,B(3-10%)
CS,val10C,val,5.954,655,694,B(3-10%)
CS,val10D,val,8.719,734,798,B(3-10%)
CS,gdb8,gdb,5.747,348,368,B(3-10%)
CS,gdb9,gdb,5.611,303,320,B(3-10%)
CS,gdb11,gdb,7.848,395,426,B(3-10%)
CS,gdb22,gdb,2,200,204,A(1-3%)
CS,gdb23,gdb,4.292,233,243,B(3-10%)
CS,egl-e1-A,egl,13.726,3548,4035,C(10-25%)
CS,egl-e1-B,egl,6.447,4498,4788,B(3-10%)
CS,egl-e1-C,egl,3.539,5595,5793,B(3-10%)
CS,egl-e2-A,egl,7.334,5018,5386,B(3-10%)
CS,egl-e2-B,egl,7.646,6317,6800,B(3-10%)
CS,egl-e2-C,egl,7.439,8335,8955,B(3-10%)
CS,egl-e3-A,egl,13.089,5898,6670,C(10-25%)
CS,egl-e3-B,egl,9.117,7744,8450,B(3-10%)
CS,egl-e3-C,egl,6.638,10244,10924,B(3-10%)
CS,egl-e4-A,egl,16.526,6408,7467,C(10-25%)
CS,egl-e4-B,egl,10.162,8935,9843,C(10-25%)
CS,egl-e4-C,egl,8.999,11512,12548,B(3-10%)
CS,egl-s1-A,egl,13.033,5018,5672,C(10-25%)
CS,egl-s1-B,egl,7.874,6388,6891,B(3-10%)
CS,egl-s1-C,egl,8.77,8518,9265,B(3-10%)
CS,egl-s2-A,egl,22.656,9825,12051,C(10-25%)
CS,egl-s2-B,egl,18.783,13017,15462,C(10-25%)
CS,egl-s2-C,egl,14.466,16425,18801,C(10-25%)
CS,egl-s3-A,egl,15.848,10165,11776,C(10-25%)
CS,egl-s3-B,egl,14.376,13648,15610,C(10-25%)
CS,egl-s3-C,egl,15.709,17188,19888,C(10-25%)
CS,egl-s4-A,egl,19.164,12153,14482,C(10-25%)
CS,egl-s4-B,egl,18.538,16113,19100,C(10-25%)
